2016-05-07 00:30:28 status half-configured base-files:amd64 9.4ubuntu4
2016-05-07 00:30:28 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:28 status half-installed base-files:amd64 9.4ubuntu4
2016-05-07 00:30:28 status half-installed base-files:amd64 9.4ubuntu4
2016-05-07 00:30:28 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:28 status unpacked base-files:amd64 9.4ubuntu4
2016-05-07 00:30:28 upgrade base-passwd:amd64 3.5.39 3.5.39
2016-05-07 00:30:28 status half-configured base-passwd:amd64 3.5.39
2016-05-07 00:30:28 status unpacked base-passwd:amd64 3.5.39
2016-05-07 00:30:28 status half-installed base-passwd:amd64 3.5.39
2016-05-07 00:30:28 status half-installed base-passwd:amd64 3.5.39
2016-05-07 00:30:28 status unpacked base-passwd:amd64 3.5.39
2016-05-07 00:30:28 status unpacked base-passwd:amd64 3.5.39
2016-05-07 00:30:28 install bash:amd64 <none> 4.3-14ubuntu1
2016-05-07 00:30:28 status half-installed bash:amd64 4.3-14ubuntu1
2016-05-07 00:30:28 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-07 00:30:29 status unpacked bash:amd64 4.3-14ubuntu1
2016-05-07 00:30:29 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2016-05-07 00:30:29 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2016-05-07 00:30:29 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2016-05-07 00:30:29 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2016-05-07 00:30:29 install coreutils:amd64 <none> 8.25-2ubuntu2
2016-05-07 00:30:29 status half-installed coreutils:amd64 8.25-2ubuntu2
2016-05-07 00:30:29 status unpacked coreutils:amd64 8.25-2ubuntu2
2016-05-07 00:30:29 status unpacked coreutils:amd64 8.25-2ubuntu2
2016-05-07 00:30:29 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2016-05-07 00:30:29 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2016-05-07 00:30:30 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2016-05-07 00:30:30 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2016-05-07 00:30:30 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2016-05-07 00:30:30 status half-configured debconf:all 1.5.58ubuntu1
2016-05-07 00:30:30 status unpacked debconf:all 1.5.58ubuntu1
2016-05-07 00:30:30 status half-installed debconf:all 1.5.58ubuntu1
2016-05-07 00:30:30 status half-installed debconf:all 1.5.58ubuntu1
2016-05-07 00:30:30 status unpacked debconf:all 1.5.58ubuntu1
2016-05-07 00:30:30 status unpacked debconf:all 1.5.58ubuntu1
2016-05-07 00:30:30 install debianutils:amd64 <none> 4.7
2016-05-07 00:30:30 status half-installed debianutils:amd64 4.7
2016-05-07 00:30:30 status unpacked debianutils:amd64 4.7
2016-05-07 00:30:30 status unpacked debianutils:amd64 4.7
2016-05-07 00:30:30 install diffutils:amd64 <none> 1:3.3-3
2016-05-07 00:30:30 status half-installed diffutils:amd64 1:3.3-3
2016-05-07 00:30:31 status unpacked diffutils:amd64 1:3.3-3
2016-05-07 00:30:31 status unpacked diffutils:amd64 1:3.3-3
